# run_started_utc: 2026-08-19T17:39:25.245455+00:00
# run_started_local: 2026-08-19T23:09:25.245455+05:30
# run_ended_utc: 2026-08-19T17:41:28.987008+00:00
# simulated_duration_s: 586.1
# rows_written: 232
# git_commit: 7a1da34
# git_tree: clean
# schedule_file: E:\BSc Project Task\Simulation\signal_schedule_annual.csv
# schedule_sha256: 9ab4100c95934d3065dcf27fee6c19e9cde8e295cd37f3da4c3b1d31e9efba9e
# approved_by: sasiru
# approved_at: 2026-08-19T17:39:24.981286+00:00
# encryption_at_end: on
# encryption_toggled_during_run: yes
# attacks_fired: false_data_injection, sensor_spoofing
# demand_multiplier: 1
# density: 1x
sim_time_s,clock,arm,demand_window,arrivals_window,blocked_entries,discharged_window,green_seconds_window,discharge_per_green_s,queue_length,mean_speed,accident_active,accident_location,anomaly_flag
250.0,08:04,West,0,0,2,0,7.08,0.0,0,2.2,1,"West arm, outgoing lane",0
260.0,08:04,North,0,0,52,7,19.93,0.3513,0,2.2,1,"West arm, outgoing lane",0
260.0,08:04,South,0,0,8,0,0,0.0,1,0.0,1,"West arm, outgoing lane",0
260.0,08:04,East,0,0,7,0,0,0.0,0,2.2,1,"West arm, outgoing lane",0
260.0,08:04,West,0,0,2,0,0,0.0,0,2.2,1,"West arm, outgoing lane",0
270.0,08:04,North,0,0,52,0,20.01,0.0,0,2.2,1,"West arm, outgoing lane",0
270.0,08:04,South,1,1,8,0,0,0.0,1,1.1,1,"West arm, outgoing lane",0
270.0,08:04,East,0,0,7,0,0,0.0,0,2.2,1,"West arm, outgoing lane",0
270.0,08:04,West,0,0,2,0,0,0.0,0,2.2,1,"West arm, outgoing lane",0
280.0,08:04,North,0,0,52,0,20.02,0.0,0,2.2,0,,0
280.0,08:04,South,1,1,8,0,0,0.0,2,0.0,0,,0
280.0,08:04,East,0,0,7,0,0,0.0,0,2.2,0,,0
280.0,08:04,West,0,0,2,0,0,0.0,0,2.2,0,,0
290.0,08:04,North,0,0,52,0,16.1,0.0,0,2.2,0,,0
290.0,08:04,South,0,0,8,1,0.92,1.0929,0,1.538,0,,0
290.0,08:04,East,0,0,7,0,0,0.0,0,2.2,0,,0
290.0,08:04,West,0,0,2,0,0,0.0,0,2.2,0,,0
300.0,08:05,North,0,0,52,0,6.11,0.0,0,2.2,0,,0
300.0,08:05,South,0,0,8,2,10.91,0.1834,0,2.2,0,,0
300.0,08:05,East,0,0,7,0,0,0.0,0,2.2,0,,0
300.0,08:05,West,0,0,2,0,0,0.0,0,2.2,0,,0
310.0,08:05,North,0,0,52,0,0,0.0,0,2.2,0,,0
310.0,08:05,South,0,0,8,1,20.01,0.05,0,2.2,0,,0
310.0,08:05,East,0,0,7,0,0,0.0,0,2.2,0,,0
310.0,08:05,West,0,0,2,0,0,0.0,0,2.2,0,,0
320.0,08:05,North,0,0,52,0,0,0.0,0,2.2,0,,0
320.0,08:05,South,0,0,8,0,12.1,0.0,0,2.2,0,,0
320.0,08:05,East,0,0,7,0,4.89,0.0,0,2.2,0,,0
320.0,08:05,West,0,0,2,0,0,0.0,0,2.2,0,,0
330.0,08:05,North,0,0,52,0,0,0.0,0,2.2,0,,0
330.0,08:05,South,0,0,8,0,2.1,0.0,0,2.2,0,,0
330.0,08:05,East,0,0,7,0,14.89,0.0,0,2.2,0,,0
330.0,08:05,West,0,0,2,0,0,0.0,0,2.2,0,,0
340.0,08:05,North,0,0,52,0,0,0.0,0,2.2,0,,0
340.0,08:05,South,0,0,8,0,0,0.0,0,2.2,0,,0
340.0,08:05,East,0,0,7,0,18.15,0.0,0,2.2,0,,0
340.0,08:05,West,0,0,2,0,0,0.0,0,2.2,0,,0
350.0,08:05,North,1,1,52,0,0,0.0,0,2.2,0,,0
350.0,08:05,South,0,0,8,0,0,0.0,0,2.2,0,,0
350.0,08:05,East,0,0,7,0,8.13,0.0,0,2.2,0,,0
350.0,08:05,West,0,0,2,0,8.86,0.0,0,2.2,0,,0
360.0,08:06,North,1,1,52,0,0,0.0,1,0.0,0,,0
360.0,08:06,South,0,0,8,0,0,0.0,0,2.2,0,,0
360.0,08:06,East,0,0,7,0,0,0.0,0,2.2,0,,0
360.0,08:06,West,0,0,2,0,16.01,0.0,0,2.2,0,,0
370.0,08:06,North,0,0,52,1,9.85,0.1015,0,2.2,0,,0
370.0,08:06,South,0,0,8,0,0,0.0,0,2.2,0,,0
370.0,08:06,East,0,0,7,0,0,0.0,0,2.2,0,,0
370.0,08:06,West,0,0,2,0,7.16,0.0,0,2.2,0,,0
380.0,08:06,North,0,0,52,1,19.86,0.0504,0,2.2,0,,0
380.0,08:06,South,0,0,8,0,0,0.0,0,2.2,0,,0
380.0,08:06,East,0,0,7,0,0,0.0,0,2.2,0,,0
380.0,08:06,West,0,0,2,0,0,0.0,0,2.2,0,,0
390.0,08:06,North,0,0,52,0,20.0,0.0,0,2.2,0,,0
390.0,08:06,South,0,0,8,0,0,0.0,0,2.2,0,,0
390.0,08:06,East,0,0,7,0,0,0.0,0,2.2,0,,0
390.0,08:06,West,0,0,2,0,0,0.0,0,2.2,0,,0
400.0,08:06,North,0,0,52,0,20.0,0.0,0,2.2,0,,0
400.0,08:06,South,0,0,8,0,0,0.0,0,2.2,0,,0
400.0,08:06,East,0,0,7,0,0,0.0,0,2.2,0,,0
400.0,08:06,West,0,0,2,0,0,0.0,0,2.2,0,,0
410.0,08:06,North,1,1,52,0,16.16,0.0,1,0.002,0,,0
410.0,08:06,South,0,0,8,0,0.85,0.0,0,2.2,0,,0
410.0,08:06,East,0,0,7,0,0,0.0,0,2.2,0,,0
410.0,08:06,West,0,0,2,0,0,0.0,0,2.2,0,,0
420.0,08:07,North,1,1,52,0,6.16,0.0,1,0.0,0,,0
420.0,08:07,South,0,0,8,0,10.84,0.0,0,2.2,0,,0
420.0,08:07,East,0,0,7,0,0,0.0,0,2.2,0,,0
420.0,08:07,West,0,0,2,0,0,0.0,0,2.2,0,,0
430.0,08:07,North,0,0,52,0,0,0.0,1,0.0,0,,0
430.0,08:07,South,0,0,8,0,20.02,0.0,0,2.2,0,,0
430.0,08:07,East,0,0,7,0,0,0.0,0,2.2,0,,0
430.0,08:07,West,0,0,2,0,0,0.0,0,2.2,0,,0
440.0,08:07,North,0,0,52,0,0,0.0,1,0.0,0,,0
440.0,08:07,South,0,0,8,0,12.16,0.0,0,2.2,0,,0
440.0,08:07,East,0,0,7,0,4.84,0.0,0,2.2,0,,0
440.0,08:07,West,0,0,2,0,0,0.0,0,2.2,0,,0
450.0,08:07,North,0,0,52,0,0,0.0,1,0.0,0,,0
450.0,08:07,South,0,0,8,0,2.16,0.0,0,2.2,0,,0
450.0,08:07,East,0,0,7,0,14.84,0.0,0,2.2,0,,0
450.0,08:07,West,0,0,2,0,0,0.0,0,2.2,0,,0
460.0,08:07,North,0,0,52,0,0,0.0,1,0.0,0,,0
460.0,08:07,South,0,0,8,0,0,0.0,0,2.2,0,,0
460.0,08:07,East,0,0,7,0,18.19,0.0,0,2.2,0,,0
460.0,08:07,West,0,0,2,0,0,0.0,0,2.2,0,,0
470.0,08:07,North,0,0,52,0,0,0.0,1,0.0,0,,0
470.0,08:07,South,0,0,8,0,0,0.0,0,2.2,0,,0
470.0,08:07,East,0,0,7,0,8.19,0.0,0,2.2,0,,0
470.0,08:07,West,0,0,2,0,8.83,0.0,0,2.2,0,,0
480.0,08:08,North,0,0,52,0,0,0.0,1,0.0,0,,0
480.0,08:08,South,0,0,8,0,0,0.0,0,2.2,0,,0
480.0,08:08,East,0,0,7,0,0,0.0,0,2.2,0,,0
480.0,08:08,West,0,0,2,0,16.0,0.0,0,2.2,0,,0
490.0,08:08,North,0,0,52,1,9.82,0.1019,0,2.2,0,,0
490.0,08:08,South,0,0,8,0,0,0.0,0,2.2,0,,0
490.0,08:08,East,0,0,7,0,0,0.0,0,2.2,0,,0
490.0,08:08,West,0,0,2,0,7.18,0.0,0,2.2,0,,0
500.0,08:08,North,0,0,52,1,19.81,0.0505,0,2.2,0,,0
500.0,08:08,South,0,0,8,0,0,0.0,0,2.2,0,,0
500.0,08:08,East,0,0,7,0,0,0.0,0,2.2,0,,0
500.0,08:08,West,0,0,2,0,0,0.0,0,2.2,0,,0
510.0,08:08,North,0,0,52,0,20.02,0.0,0,2.2,0,,0
510.0,08:08,South,0,0,8,0,0,0.0,0,2.2,0,,0
510.0,08:08,East,0,0,7,0,0,0.0,0,2.2,0,,0
510.0,08:08,West,0,0,2,0,0,0.0,0,2.2,0,,0
520.0,08:08,North,0,0,52,0,20.0,0.0,0,2.2,0,,0
520.0,08:08,South,0,0,8,0,0,0.0,0,2.2,0,,0
520.0,08:08,East,0,0,7,0,0,0.0,0,2.2,0,,0
520.0,08:08,West,0,0,2,0,0,0.0,0,2.2,0,,0
530.0,08:08,North,1,1,52,0,16.21,0.0,0,2.2,0,,0
530.0,08:08,South,0,0,8,0,0.8,0.0,0,2.2,0,,0
530.0,08:08,East,0,0,7,0,0,0.0,0,2.2,0,,0
530.0,08:08,West,0,0,2,0,0,0.0,0,2.2,0,,0
540.0,08:09,North,1,1,52,0,6.22,0.0,1,0.0,0,,0
540.0,08:09,South,0,0,8,0,10.79,0.0,0,2.2,0,,0
540.0,08:09,East,0,0,7,0,0,0.0,0,2.2,0,,0
540.0,08:09,West,0,0,2,0,0,0.0,0,2.2,0,,0
550.0,08:09,North,0,0,52,0,0,0.0,1,0.0,0,,0
550.0,08:09,South,0,0,8,0,20.02,0.0,0,2.2,0,,0
550.0,08:09,East,0,0,7,0,0,0.0,0,2.2,0,,0
550.0,08:09,West,0,0,2,0,0,0.0,0,2.2,0,,0
560.0,08:09,North,0,0,52,0,0,0.0,1,0.0,0,,0
560.0,08:09,South,0,0,8,0,12.22,0.0,0,2.2,0,,0
560.0,08:09,East,0,0,7,0,4.77,0.0,0,2.2,0,,0
560.0,08:09,West,0,0,2,0,0,0.0,0,2.2,0,,0
570.0,08:09,North,0,0,52,0,0,0.0,1,0.0,0,,0
570.0,08:09,South,0,0,8,0,2.23,0.0,0,2.2,0,,0
570.0,08:09,East,0,0,7,0,14.77,0.0,0,2.2,0,,0
570.0,08:09,West,0,0,2,0,0,0.0,0,2.2,0,,0
580.0,08:09,North,0,0,52,0,0,0.0,1,0.0,0,,0
580.0,08:09,South,0,0,8,0,0,0.0,0,2.2,0,,0
580.0,08:09,East,0,0,7,0,18.27,0.0,0,2.2,0,,0
580.0,08:09,West,0,0,2,0,0,0.0,0,2.2,0,,0
