# run_started_utc: 2026-08-20T05:24:43.089514+00:00
# run_started_local: 2026-08-20T10:54:43.089514+05:30
# run_ended_utc: 2026-08-20T05:25:35.869311+00:00
# simulated_duration_s: 254.3
# rows_written: 100
# git_commit: 8a25cc8
# git_tree: dirty
# schedule_file: E:\BSc Project Task\Simulation\signal_schedule_annual.csv
# schedule_sha256: 9ab4100c95934d3065dcf27fee6c19e9cde8e295cd37f3da4c3b1d31e9efba9e
# approved_by: sasiru
# approved_at: 2026-08-20T05:24:43.041570+00:00
# encryption_at_end: on
# encryption_toggled_during_run: no
# attacks_fired: false_data_injection
# demand_multiplier: 50
# density: 50x
sim_time_s,clock,arm,demand_window,arrivals_window,blocked_entries,discharged_window,green_seconds_window,discharge_per_green_s,queue_length,mean_speed,accident_active,accident_location,anomaly_flag,readings_sent_window,readings_rejected_window,signals_fired_window
10.0,08:00,North,0,0,0,0,10.01,0.0,0,2.2,0,,0,1,0,
10.0,08:00,South,1,1,0,0,0,0.0,0,2.2,0,,0,1,0,
10.0,08:00,East,1,1,0,0,0,0.0,0,2.2,0,,0,1,0,
10.0,08:00,West,0,0,0,0,0,0.0,0,2.2,0,,0,1,0,
170.0,08:02,North,12,9,41,7,16.06,0.436,2,0.606,0,,0,1,1,S1_INTEGRITY_FAIL;S4_SIMULTANEITY
170.0,08:02,South,3,0,12,1,0.94,1.0601,3,0.54,0,,0,1,1,S1_INTEGRITY_FAIL;S4_SIMULTANEITY
170.0,08:02,East,2,2,1,0,0,0.0,8,0.021,0,,0,1,1,S1_INTEGRITY_FAIL;S4_SIMULTANEITY
170.0,08:02,West,3,2,2,0,0,0.0,5,0.0,0,,0,1,1,S1_INTEGRITY_FAIL;S4_SIMULTANEITY
180.0,08:03,North,9,7,42,2,6.05,0.3307,6,0.018,0,,0,1,1,S1_INTEGRITY_FAIL;S4_SIMULTANEITY
180.0,08:03,South,3,1,13,8,10.94,0.731,0,2.2,0,,0,1,1,S1_INTEGRITY_FAIL;S4_SIMULTANEITY
180.0,08:03,East,2,1,2,0,0,0.0,8,0.0,0,,0,1,1,S1_INTEGRITY_FAIL;S4_SIMULTANEITY
180.0,08:03,West,0,0,2,0,0,0.0,5,0.0,0,,0,1,1,S1_INTEGRITY_FAIL;S4_SIMULTANEITY
190.0,08:03,North,6,4,43,0,0,0.0,7,0.0,0,,0,1,1,S1_INTEGRITY_FAIL;S4_SIMULTANEITY
190.0,08:03,South,4,2,14,8,20.01,0.3999,0,2.2,0,,0,1,1,S1_INTEGRITY_FAIL;S4_SIMULTANEITY
190.0,08:03,East,3,0,4,0,0,0.0,8,0.0,0,,0,1,1,S1_INTEGRITY_FAIL;S4_SIMULTANEITY
190.0,08:03,West,0,0,2,0,0,0.0,5,0.0,0,,0,1,1,S1_INTEGRITY_FAIL;S4_SIMULTANEITY
200.0,08:03,North,8,1,49,0,0,0.0,7,0.0,0,,0,1,1,S1_INTEGRITY_FAIL;S4_SIMULTANEITY
200.0,08:03,South,5,4,14,1,12.06,0.0829,2,0.519,0,,0,1,1,S1_INTEGRITY_FAIL;S4_SIMULTANEITY
200.0,08:03,East,2,0,4,6,4.93,1.2179,0,2.094,0,,0,1,1,S1_INTEGRITY_FAIL;S4_SIMULTANEITY
200.0,08:03,West,0,0,2,0,0,0.0,5,0.0,0,,0,1,1,S1_INTEGRITY_FAIL;S4_SIMULTANEITY
210.0,08:03,North,9,0,52,0,0,0.0,7,0.0,0,,0,1,1,S1_INTEGRITY_FAIL;S4_SIMULTANEITY
